1,Araba/Álava,Álava,Q81801,
2,Albacete,Provincia de Albacete,Q54889,
3,Alicante/Alacant,Provincia de Alicante,Q54936,
4,Almería,Provincia de Almería,Q81802,
5,Ávila,Provincia de Ávila,Q55288,
6,Badajoz,Provincia de Badajoz,Q81803,
7,Balears, Illes,Islas Baleares,Q5765
8,Barcelona,Provincia de Barcelona,Q81949,
9,Burgos,Provincia de Burgos,Q55271,
10,Cáceres,Provincia de Cáceres,Q81977,
11,Cádiz,Provincia de Cádiz,Q81978,
12,Castellón/Castelló,Provincia de Castellón,Q54942,
13,Ciudad Real,Provincia de Ciudad Real,Q54932,
14,Córdoba,Provincia de Córdoba (España),Q81972,
15,Coruña, A,Provincia de La Coruña,Q82119
16,Cuenca,Provincia de Cuenca,Q54888,
17,Girona,Provincia de Gerona,Q7194,
18,Granada,Provincia de Granada,Q82142,
19,Guadalajara,Provincia de Guadalajara,Q54925,
20,Gipuzkoa,Guipúzcoa,Q95010,
21,Huelva,Provincia de Huelva,Q95015,
22,Huesca,Provincia de Huesca,Q55182,
23,Jaén,Provincia de Jaén (España),Q95025,
24,León,Provincia de León,Q71140,
25,Lleida,Provincia de Lérida,Q13904,
26,Rioja, La,La Rioja (España),Q5727
27,Lugo,Provincia de Lugo,Q95027,
28,Madrid,Comunidad de Madrid,Q5756,
29,Málaga,Provincia de Málaga,Q95028,
30,Murcia,Región de Murcia,Q5772,
31,Navarra,Navarra,Q4018,
32,Ourense,Provincia de Orense,Q95038,
33,Asturias,Asturias,Q3934,
34,Palencia,Provincia de Palencia,Q55269,
35,Palmas, Las,Provincia de Las Palmas,Q95080
36,Pontevedra,Provincia de Pontevedra,Q95086,
37,Salamanca,Provincia de Salamanca,Q71080,
38,Santa Cruz de Tenerife,Provincia de Santa Cruz de Tenerife,Q99976,
39,Cantabria,Cantabria,Q3946,
40,Segovia,Provincia de Segovia,Q55283,
41,Sevilla,Provincia de Sevilla,Q95088,
42,Soria,Provincia de Soria,Q55276,
43,Tarragona,Provincia de Tarragona,Q98392,
44,Teruel,Provincia de Teruel,Q54955,
45,Toledo,Provincia de Toledo,Q54929,
46,Valencia/València,Provincia de Valencia,Q54939,
47,Valladolid,Provincia de Valladolid,Q71097,
48,Bizkaia,Vizcaya,Q93366,
49,Zamora,Provincia de Zamora,Q71113,
50,Zaragoza,Provincia de Zaragoza,Q55180,
51,Ceuta,Ceuta,Q5823,
52,Melilla,Melilla,Q5831,
